order_id;order_date;promised_delivery_time;actual_delivery_time;number_product;total_quantity;rating;feedback_category;area;customer_segment;total_orders;delivery_time_minutes;distance_km;delivery_performance
2850500678;29/03/2024 01:27;29/03/2024 01:46;29/03/2024 01:59;6;9;3;Product Quality;Hosur;Premium;11;13.0;4.84;Late
7171106490;17/08/2023 15:46;17/08/2023 15:59;17/08/2023 15:57;1;3;5;Delivery;Rajkot;Regular;13;-2.0;1.49;On Time
3829771237;23/11/2023 23:46;24/11/2023 00:05;24/11/2023 00:08;8;16;5;App Experience;Nagpur;Inactive;8;3.0;4.08;Late
459643984;17/07/2025 17:33;17/07/2025 17:51;17/07/2025 17:52;5;9;5;Customer Service;Gurgaon;Regular;1;1.0;3.21;On Time
1316777473;16/12/2023 13:15;16/12/2023 13:34;16/12/2023 14:01;3;9;2;Customer Service;Kanpur;New;17;27.0;0.95;Late
7511736375;12/06/2023 14:40;12/06/2023 14:54;12/06/2023 15:03;6;14;3;Product Quality;Sambalpur;Inactive;4;9.0;2.46;Late
9078729924;22/10/2024 20:51;22/10/2024 21:06;22/10/2024 21:01;5;7;5;Customer Service;Mathura;Premium;11;-5.0;3.44;Early
3818630716;24/11/2024 01:43;24/11/2024 01:59;24/11/2024 01:58;8;17;5;Customer Service;Kottayam;Regular;9;-1.0;1.9;On Time
8585415558;02/07/2024 01:37;02/07/2024 01:54;02/07/2024 01:59;4;7;4;Delivery;Panvel;New;7;5.0;1.27;Late
3164636338;26/06/2025 07:47;26/06/2025 08:04;26/06/2025 07:59;5;6;4;Product Quality;Meerut;Regular;7;-5.0;3.78;Early
1069569617;29/12/2023 08:59;29/12/2023 09:15;29/12/2023 09:34;5;9;1;Product Quality;Ghaziabad;Inactive;13;19.0;4.0;Late
8830652374;25/05/2025 05:32;25/05/2025 05:43;25/05/2025 05:48;2;4;5;Delivery;Karimnagar;Regular;20;5.0;0.77;Late
192325016;09/08/2024 17:14;09/08/2024 17:34;09/08/2024 17:29;7;15;5;Customer Service;Shahjahanpur;Regular;16;-5.0;0.86;Early
6018926249;21/11/2025 20:40;21/11/2025 20:52;21/11/2025 21:06;5;11;3;App Experience;Saharsa;Premium;15;14.0;0.75;Late
758171239;11/03/2025 21:32;11/03/2025 21:46;11/03/2025 21:44;7;11;4;App Experience;Katni;Regular;2;-2.0;1.09;On Time
9687670406;20/08/2023 02:58;20/08/2023 03:16;20/08/2023 03:22;2;4;3;Delivery;Dehri;Premium;4;6.0;0.72;Late
3836331811;01/05/2025 15:59;01/05/2025 16:16;01/05/2025 16:14;1;1;4;Customer Service;Bhiwandi;Inactive;9;-2.0;3.43;On Time
2304449471;06/10/2024 12:29;06/10/2024 12:45;06/10/2024 12:52;5;10;4;Customer Service;Aizawl;New;7;7.0;1.13;Late
3049938096;14/05/2025 12:45;14/05/2025 13:05;14/05/2025 13:03;3;7;4;Customer Service;Vadodara;Regular;13;-2.0;0.58;On Time
969452191;16/09/2024 06:40;16/09/2024 06:59;16/09/2024 06:59;2;4;5;Delivery;Secunderabad;Inactive;1;0.0;2.58;On Time
4088350993;11/05/2023 18:50;11/05/2023 19:06;11/05/2023 19:08;5;12;4;Product Quality;Anantapuram;New;2;2.0;3.49;On Time
2779255026;15/06/2023 04:36;15/06/2023 04:54;15/06/2023 05:01;3;6;3;Delivery;Bahraich;Inactive;13;7.0;1.19;Late
3144468812;19/10/2023 14:20;19/10/2023 14:30;19/10/2023 14:33;1;1;4;Customer Service;Bhopal;Regular;19;3.0;3.54;Late
4914116817;09/02/2025 18:21;09/02/2025 18:32;09/02/2025 18:31;1;1;5;Customer Service;Belgaum;Regular;6;-1.0;4.77;On Time
7247346786;25/07/2024 00:01;25/07/2024 00:12;25/07/2024 00:22;8;17;4;Product Quality;Amravati;New;2;10.0;4.29;Late
5025845984;11/03/2023 23:38;11/03/2023 23:50;11/03/2023 23:50;6;15;5;App Experience;Kulti;Premium;9;0.0;2.75;On Time
494185217;13/08/2024 19:03;13/08/2024 19:23;13/08/2024 19:28;3;7;5;Customer Service;Aurangabad;Inactive;17;5.0;4.11;Late
3209159169;23/02/2023 12:17;23/02/2023 12:31;23/02/2023 12:34;8;18;4;Customer Service;Kishanganj;New;19;3.0;2.8;Late
9365778969;20/10/2025 21:37;20/10/2025 21:48;20/10/2025 21:45;7;14;4;Customer Service;Sonipat;Regular;15;-3.0;1.11;Early
9709173476;15/05/2025 04:26;15/05/2025 04:43;15/05/2025 04:46;5;8;4;Product Quality;Durg;Regular;2;3.0;1.8;Late
1736691823;20/07/2024 01:45;20/07/2024 01:57;20/07/2024 02:15;6;12;1;Product Quality;Saharsa;Premium;2;18.0;3.29;Late
764690702;21/03/2025 20:32;21/03/2025 20:48;21/03/2025 20:45;6;11;5;Customer Service;Anantapur;Inactive;11;-3.0;0.5;Early
7593471025;17/07/2024 11:55;17/07/2024 12:06;17/07/2024 12:21;2;2;3;Customer Service;Nandyal;New;5;15.0;2.68;Late
9853270521;13/02/2023 22:42;13/02/2023 22:53;13/02/2023 22:52;6;9;4;Product Quality;Bangalore;Inactive;9;-1.0;3.88;On Time
4288529188;23/08/2024 22:40;23/08/2024 22:52;23/08/2024 22:51;6;13;5;Delivery;Faridabad;Inactive;16;-1.0;3.05;On Time
3154879255;10/07/2023 21:35;10/07/2023 21:53;10/07/2023 21:57;8;14;5;Delivery;Shivpuri;Premium;12;4.0;1.57;Late
8120837867;27/08/2023 11:55;27/08/2023 12:07;27/08/2023 12:03;5;11;4;App Experience;Buxar;Premium;4;-4.0;0.59;Early
5408470302;27/06/2024 01:18;27/06/2024 01:38;27/06/2024 01:34;3;7;4;Product Quality;Rourkela;New;7;-4.0;0.59;Early
6346754924;02/01/2025 00:24;02/01/2025 00:40;02/01/2025 00:37;7;9;5;Customer Service;Kochi;New;13;-3.0;2.28;Early
5731804243;25/10/2023 20:24;25/10/2023 20:36;25/10/2023 21:04;4;6;2;Product Quality;Faridabad;Regular;14;28.0;2.48;Late
7619720404;19/07/2024 15:04;19/07/2024 15:21;19/07/2024 15:24;1;1;5;Customer Service;Ramgarh;New;8;3.0;4.09;Late
1308703406;31/03/2025 04:35;31/03/2025 04:51;31/03/2025 04:55;2;3;5;App Experience;Rampur;Regular;14;4.0;3.84;Late
864738378;10/01/2024 07:14;10/01/2024 07:32;10/01/2024 07:31;7;10;5;Customer Service;Gulbarga;Inactive;7;-1.0;2.08;On Time
9783493265;29/09/2025 20:29;29/09/2025 20:48;29/09/2025 20:46;1;3;5;Delivery;Parbhani;New;16;-2.0;4.07;On Time
2802500783;09/06/2024 02:06;09/06/2024 02:19;09/06/2024 02:14;8;17;5;Customer Service;Tiruvottiyur;Regular;10;-5.0;4.66;Early
8625144136;20/12/2025 04:15;20/12/2025 04:30;20/12/2025 04:52;1;1;1;Product Quality;Ongole;New;7;22.0;1.37;Late
1152931405;13/12/2025 14:05;13/12/2025 14:19;13/12/2025 14:19;8;16;5;Customer Service;Jaipur;New;13;0.0;3.15;On Time
7480454899;30/09/2024 11:44;30/09/2024 11:58;30/09/2024 12:08;5;9;3;Product Quality;Pudukkottai;Regular;4;10.0;3.85;Late
4395520324;10/03/2023 12:15;10/03/2023 12:30;10/03/2023 12:25;8;16;4;Product Quality;Satna;Inactive;17;-5.0;1.62;Early
2754558974;21/09/2024 23:59;22/09/2024 00:17;22/09/2024 00:14;3;7;4;App Experience;Bhiwani;Regular;19;-3.0;1.63;Early
4650318593;15/12/2023 11:37;15/12/2023 11:53;15/12/2023 11:52;6;13;5;Product Quality;Faridabad;Inactive;8;-1.0;4.8;On Time
5572716475;30/01/2024 09:10;30/01/2024 09:26;30/01/2024 09:55;7;17;1;Delivery;Rourkela;Inactive;6;29.0;1.43;Late
2734329324;25/05/2023 20:07;25/05/2023 20:18;25/05/2023 20:14;5;10;4;App Experience;Sasaram;Premium;13;-4.0;2.51;Early
442836181;31/07/2025 22:44;31/07/2025 22:57;31/07/2025 23:01;2;5;5;Delivery;Lucknow;Regular;3;4.0;4.14;Late
7312766372;20/01/2023 09:51;20/01/2023 10:02;20/01/2023 10:04;6;15;4;Customer Service;Rajkot;New;6;2.0;1.84;On Time
7778959162;11/11/2024 10:30;11/11/2024 10:41;11/11/2024 10:56;6;13;4;App Experience;Bilaspur;New;7;15.0;2.47;Late
4251165351;24/10/2023 07:10;24/10/2023 07:29;24/10/2023 07:31;2;4;5;App Experience;Thoothukudi;Inactive;6;2.0;2.25;On Time
5848721367;03/12/2023 05:44;03/12/2023 06:04;03/12/2023 06:06;3;5;4;Delivery;Guna;Premium;12;2.0;2.09;On Time
6445426132;05/07/2025 22:27;05/07/2025 22:45;05/07/2025 22:49;1;1;5;Product Quality;Ranchi;Inactive;3;4.0;1.31;Late
